Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_854.jpg;0;0;0;0;99.67041;85.58852;-0.004985724;311.997;5.701356E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_921.jpg;0;0;0;0;99.67041;85.58852;-0.005400259;311.997;6.883394E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_988.jpg;0;0;0;0;99.6704;85.58853;359.9943;311.997;8.224179E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_048.jpg;0;0.1003566;0;0;99.67024;85.58871;359.9888;311.9971;8.734505E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_094.jpg;0;0.2644944;0;0;99.67074;85.58816;0.004897879;311.9167;0.0001055111
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_152.jpg;0;0.4336822;0;0.02984689;99.67225;85.58648;0.05315014;312.0466;5.964578E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_210.jpg;0;0.6092309;0;0.04767086;99.67525;85.58314;0.1451353;311.9776;0.0001814641
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_267.jpg;0;0.7796914;0;0.07743321;99.6801;85.57775;0.2875947;312.1385;-0.0005818942
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_338.jpg;0;0.9532984;0;0.1256658;99.68743;85.56967;0.4862961;312.2551;-0.001682768
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_406.jpg;0;1;0;0.1738117;99.70081;85.55482;0.7977152;312.1834;0.0006372703
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_472.jpg;0;1;0;0.2348055;99.71354;85.54075;1.055193;312.2516;-0.0005759946
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_539.jpg;0;1;0;0.2895292;99.72778;85.52498;1.287356;312.3682;-0.002371341
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_605.jpg;0;1;0;0.3477652;99.746;85.50401;1.253876;312.5831;-0.002724911
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_672.jpg;0;1;0;0.4126662;99.7612;85.48714;1.10709;312.494;0.002367289
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_37_728.jpg;1.742299;1;0;0.4766939;99.77959;85.46695;1.04427;312.3784;0.003891614
